Date,Monte Carlo,DL,Dynamic DL
2020-02-20,123.89504917512558,110.40557613034817,108.70961925582877
2020-02-24,112.61601972910438,90.29470617289165,88.76186054263017
2020-02-25,110.66385012943391,84.0968472826749,81.7657592786836
2020-02-26,108.33254051147347,78.19576078347878,76.96469066222184
2020-02-27,105.79767488123565,75.06619981056345,74.00049940091371
2020-02-28,84.01295732753083,53.17561786930923,44.193837793597005
2020-03-02,84.26096655823133,54.018659865312436,43.946312038880116
2020-03-03,90.4332264902689,59.40069794744296,56.17746182778623
2020-03-04,78.45565574511551,47.074491760184344,44.997345306867146
2020-03-05,76.54369633087818,48.092990292659344,50.43269483773925
2020-03-06,74.6038131631389,48.97348415239006,46.746974270150886
2020-03-09,61.73378602576698,36.27855173447032,34.16222156652444
2020-03-11,59.77118692924952,35.299832751937466,32.9512489291801
2020-03-12,30.808069659172723,5.4690240391214,1.7460089452338599
2020-03-13,36.33245599787736,11.202740416013956,10.289610601843924
2020-03-16,23.881320099963443,3.331868646846801,-0.4563214686801713
2020-03-17,20.614620068134307,2.0215346265180743,-1.4414283975311433
2020-03-18,7.335354446662865,-10.524924331596281,-13.651394477668143
2020-03-19,0.014313841255856906,-22.803813639796648,-23.177858240597647
2020-03-20,9.727905354698184,-14.407023400090203,-16.960821236868014
2020-03-23,-13.526728455582907,-36.4699886344853,-40.313735305968386
2020-03-24,-14.45154576000952,-41.49076671886631,-45.23995836095988
2020-03-25,-11.590488726476307,-37.78046634037541,-41.04839716846003
2020-03-26,-5.11705891350503,-30.114833429882,-32.47564675979088
2020-03-27,-2.1585744290642306,-28.78579249052313,-30.852515826768986
2020-03-30,-3.559109379994012,-34.73551028012304,-34.43166857362871
2020-03-31,9.546185731542174,-20.621238697255222,-23.614318007814457
2020-04-01,6.256492188378449,-20.097890449146757,-23.503701999958736
2020-04-03,7.1423813403259215,-20.535099513655688,-22.4217078321935
2020-04-07,25.972467109262663,-4.783903092242569,-7.957575911477006
2020-04-08,31.288167791472,-2.452528406283005,-5.281293106316356
2020-04-09,42.17639969871757,5.874998884562653,3.2605573121591465
2020-04-13,42.73634451724712,4.594123191414978,3.200213700093409
2020-04-15,43.53168616696055,6.897540435785824,-0.6307694595930015
2020-04-16,50.015120164917725,15.326973698258465,5.189853248213946
2020-04-17,53.0553126196189,19.85727218039423,9.900087191471998
2020-04-20,59.57572920023688,26.067349349969998,18.33965019020132
2020-04-21,61.59417907905559,25.414139928868003,12.604512106094045
2020-04-22,60.99236520487035,25.740399172016396,11.759356516491508
2020-04-23,60.55957044260574,24.638936942328392,11.492398927193959
2020-04-24,55.44445313300212,21.129064804406,10.160169214080144
2020-04-27,55.250897224034794,22.076700474184772,8.342852442897655
2020-04-28,58.83967303486309,29.12756603532897,21.346737496505163
2020-04-29,58.374045172738995,28.199238424726197,21.863441798041734
2020-04-30,63.873005345012935,35.23524383635236,25.264749837040558
2020-05-04,55.4143771737502,27.917432831224534,16.449519598488497
