Date,Close,High,Low,Volume
09/04/18,213.79,214.54,212.44,1119910
10/04/18,214.5,216.3,208.31,4377685
11/04/18,214.28,216.9,212.89,1300675
12/04/18,215.14,217.88,213.83,2246208
13/04/18,220.61,221.21,215.14,3184290
16/04/18,217.43,220.5,215.59,2346056
17/04/18,213.56,216.6,212.48,2195268
18/04/18,219.49,220.35,214.88,2650004
19/04/18,219.34,220.35,217.24,957095
20/04/18,223.54,225,220.43,3351507
23/04/18,223.01,225.75,220.35,3997685
24/04/18,215.21,221.74,214.61,3541285
25/04/18,215.36,220.35,212.36,6448168
26/04/18,211.01,212.25,205.5,9581301
27/04/18,207.11,209.48,205.76,2444786
30/04/18,209.06,211.76,207.08,2118289
02/05/18,206.66,209.25,205.76,2383103
03/05/18,203.59,206.81,202.16,3356041
04/05/18,202.43,204.49,198.04,3096047
07/05/18,206.06,206.74,200.4,1974705
08/05/18,204.56,206.96,202.5,1957943
09/05/18,202.69,205.8,202.2,1937183
10/05/18,202.84,203.7,201.3,1803318
11/05/18,204.49,205.2,201.23,1525070
14/05/18,204.26,205.46,202.5,1539271
15/05/18,203.25,205.39,201.11,1688107
16/05/18,206.03,209.21,202.5,3155210
17/05/18,208.76,210.6,205.76,2606144
18/05/18,201.68,207.38,201.04,4816593
21/05/18,198.64,202.09,198.08,3045146
22/05/18,198.71,200.21,197.33,1487525
23/05/18,197.59,199.28,196.95,3525447
24/05/18,198.26,199.5,196.46,2350421
25/05/18,198.45,199.24,197.74,2349381
28/05/18,197.48,198.56,196.99,1174145
29/05/18,197.25,198.38,196.24,1788224
30/05/18,195.64,197.59,193.91,2924795
31/05/18,196.43,198.38,193.5,5148537
01/06/18,195.45,198.38,194.29,1425020
04/06/18,195.11,196.84,193.54,1583746
05/06/18,191.44,196.5,190.5,2464517
06/06/18,194.44,195.38,190.13,1904820
07/06/18,198.45,199.39,193.54,2002310
08/06/18,198,198.75,196.88,1884800
11/06/18,198.3,199.69,197.44,2077925
12/06/18,199.84,201.86,199.16,2274737
13/06/18,201.6,202.5,200.14,1537840
14/06/18,199.8,201.83,198.49,2336679
15/06/18,200.18,201.56,198.75,4835437
18/06/18,199.31,201.75,197.93,3119539
19/06/18,195.75,199.46,195.08,3667556
20/06/18,194.78,196.91,193.76,1921955
21/06/18,193.99,195.98,192.83,3815401
22/06/18,193.69,194.7,191.25,2612052
25/06/18,193.13,195.94,192,1639454
26/06/18,193.2,194.96,192.11,1983623
27/06/18,192.04,194.93,190.65,3198964
28/06/18,192.83,194.21,191.78,3904763
29/06/18,196.13,196.88,191.25,3619783
02/07/18,195.45,196.69,193.58,3770856
03/07/18,196.43,197.1,193.91,3934114
04/07/18,196.46,196.91,193.58,3834319
05/07/18,198.08,198.6,195.11,4677308
06/07/18,197.1,198.3,196.13,2842723
09/07/18,198.71,198.94,196.61,2187251
10/07/18,202.95,204.23,197.78,4965837
11/07/18,204.08,206.1,202.05,3958697
12/07/18,209.59,211.13,202.39,4462606
13/07/18,210.64,217.35,208.69,7734425
16/07/18,212.33,215.25,209.14,4703923
17/07/18,212.93,216.71,211.31,5426840
18/07/18,213.6,215.48,212.74,2297219
19/07/18,214.35,216.26,211.2,2787897
20/07/18,212.25,217.95,210.38,5237399
23/07/18,207.34,211.88,197.51,8843493
24/07/18,204.71,208.88,201.9,3459105
25/07/18,206.03,207.53,204.45,2486066
26/07/18,203.55,206.33,202.24,4333086
27/07/18,205.88,206.63,204,1811083
30/07/18,204.86,205.5,202.13,2727347
31/07/18,207.3,207.94,203.4,2788567
01/08/18,208.01,208.88,205.28,1582340
02/08/18,209.33,210.6,205.95,3003757
03/08/18,208.5,210.34,207.83,1636066
06/08/18,207.79,209.78,206.44,1702524
07/08/18,208.09,209.63,206.7,1722163
08/08/18,208.88,209.59,205.8,1432933
09/08/18,209.03,210.26,206.66,2395696
10/08/18,209.14,209.93,207.38,1349318
13/08/18,211.39,213.34,208.13,2430428
14/08/18,213.79,215.25,210.75,1965719
16/08/18,209.59,213.75,208.54,2255730
17/08/18,210.04,210.75,208.09,2728968
20/08/18,213.79,214.8,210,1609461
21/08/18,216.71,220.88,213,6071109
23/08/18,217.31,219.83,216.3,2729236
24/08/18,219.11,221.14,215.18,4225138
27/08/18,221.89,222.98,218.29,2554272
28/08/18,221.7,223.5,220.58,1519200
29/08/18,222.56,223.16,219.83,1607049
30/08/18,224.21,225,220.5,3400412
31/08/18,225.94,229.88,224.63,6782746
03/09/18,231.26,245.25,229.73,25734670
04/09/18,235.01,236.25,231.98,8185732
05/09/18,239.14,240,235.88,11576807
06/09/18,240.9,241.88,238.5,10096625
07/09/18,243.53,246.19,239.33,8602776
10/09/18,243.75,246,242.4,6362612
11/09/18,242.96,246,242.36,4766569
12/09/18,246.56,247.88,243.79,6264065
14/09/18,247.65,249.75,243.15,4276779
17/09/18,247.43,252,246.08,4632353
18/09/18,249.41,250.16,243.75,2718255
19/09/18,249.53,250.16,245.29,2924075
21/09/18,251.4,253.43,246,6637721
24/09/18,249.53,253.5,247.69,3740868
25/09/18,246.23,251.18,244.69,3389131
26/09/18,239.44,246.71,237.3,7864825
27/09/18,239.21,242.74,237.53,17997289
28/09/18,243,244.99,236.55,6912444
01/10/18,247.61,249.34,242.25,4079726
03/10/18,245.63,247.5,241.88,3581472
04/10/18,244.24,247.8,241.2,4611187
05/10/18,243.98,245.96,240.9,3351631
08/10/18,238.13,242.55,234.53,3549522
09/10/18,241.24,242.1,233.78,3724535
10/10/18,236.96,240.56,232.61,3661605
11/10/18,234.79,236.59,228.64,2676772
12/10/18,237.23,239.96,232.13,3360276
15/10/18,239.96,241.54,235.61,3128553
16/10/18,239.29,240.53,237.08,3120343
17/10/18,242.36,246.83,237.38,4740737
19/10/18,242.36,244.58,238.13,2644369
22/10/18,241.65,245.44,240,1815802
23/10/18,231.83,240.19,228.83,3816253
24/10/18,231.6,233.74,225,4679957
25/10/18,238.91,242.36,222,14176566
26/10/18,240.45,241.88,237,4427137
29/10/18,247.13,249.15,237.49,2475139
30/10/18,245.63,250.99,244.24,3705132
31/10/18,248.4,250.31,241.58,3004968
01/11/18,247.24,249.71,241.88,2505700
02/11/18,238.8,248.7,237.79,3660725
05/11/18,243.08,244.13,235.58,2554071
06/11/18,243.68,245.14,240.83,2290933
07/11/18,244.01,245.81,243.41,142541
09/11/18,243.64,246,238.24,4623479
12/11/18,242.51,244.88,241.35,2586579
13/11/18,244.61,245.78,240.75,2288150
14/11/18,243.41,244.58,238.99,1831417
15/11/18,242.36,247.88,241.24,3353550
16/11/18,244.65,247.8,242.63,2728443
