Date,Close,Open,High,Low,Volume
09/11/17,670.16,665.96,671.73,660.72,2542062.00
10/11/17,669.06,667.49,675.20,662.82,2893175.00
13/11/17,658.39,670.25,671.16,654.63,3238473.00
14/11/17,653.10,656.91,662.25,649.48,3691525.00
15/11/17,645.72,646.91,649.29,637.62,4298026.00
16/11/17,653.91,650.62,656.91,644.24,2465499.00
17/11/17,668.06,661.20,675.78,661.20,4032997.00
20/11/17,668.96,664.92,674.44,657.53,3289271.00
21/11/17,677.73,670.63,684.54,668.82,3657310.00
22/11/17,677.44,679.73,683.11,672.92,2272083.00
23/11/17,679.02,679.68,682.64,673.73,3683121.00
24/11/17,674.97,678.40,679.11,670.01,1925192.00
27/11/17,669.35,675.49,675.49,666.01,1865394.00
28/11/17,670.58,668.63,679.21,664.20,2544179.00
29/11/17,675.78,669.01,677.40,669.01,3056846.00
30/11/17,661.34,671.68,673.59,657.39,3990140.00
01/12/17,648.72,662.06,664.92,645.00,3941877.00
04/12/17,655.29,652.72,660.15,648.34,2322372.00
05/12/17,643.76,652.62,653.15,639.29,3329151.00
06/12/17,636.05,635.48,639.72,629.47,4266074.00
07/12/17,655.48,638.33,657.39,638.33,4021709.00
08/12/17,664.82,656.53,680.11,652.77,7508259.00
11/12/17,666.49,665.73,673.16,661.82,2207461.00
12/12/17,657.25,665.77,674.63,653.67,3980084.00
13/12/17,648.67,659.20,660.39,643.91,3661881.00
14/12/17,653.34,652.62,656.20,639.38,3143882.00
15/12/17,661.87,663.11,667.73,658.39,3158329.00
18/12/17,671.39,656.53,681.02,642.14,5093828.00
19/12/17,676.63,675.49,678.35,671.87,2035138.00
20/12/17,669.58,683.02,683.02,659.25,7388281.00
21/12/17,680.83,669.58,683.35,667.87,4801665.00
22/12/17,677.59,682.92,682.92,673.68,3322839.00
26/12/17,687.54,680.25,690.73,678.35,6011430.00
27/12/17,689.26,687.64,695.12,683.97,3611513.00
28/12/17,701.45,690.78,704.55,690.35,11572648.00
29/12/17,697.78,703.12,709.65,695.50,2816505.00
01/01/18,688.07,697.88,700.64,685.49,1833942.00
02/01/18,694.83,689.78,696.69,681.45,2467294.00
03/01/18,700.21,697.40,702.64,696.69,2634779.00
04/01/18,724.32,701.69,727.37,697.40,8082986.00
05/01/18,734.27,727.89,740.18,726.46,7136203.00
08/01/18,732.42,740.99,741.09,728.84,2584335.00
09/01/18,735.80,733.61,743.94,730.75,3197787.00
10/01/18,736.32,734.80,740.28,726.84,2990882.00
11/01/18,734.51,736.32,741.13,732.04,1934937.00
12/01/18,733.85,734.75,740.09,724.13,2169940.00
15/01/18,746.47,735.51,755.52,734.56,4171663.00
16/01/18,729.56,745.75,745.75,724.18,2791328.00
17/01/18,737.42,731.70,741.18,721.22,2988170.00
18/01/18,716.22,738.37,742.99,710.93,4616814.00
19/01/18,717.41,716.93,725.99,707.41,3217972.00
22/01/18,716.65,716.46,720.65,712.03,3605727.00
23/01/18,742.90,716.46,749.90,716.46,8036841.00
24/01/18,726.08,743.61,743.71,721.36,4935129.00
25/01/18,732.80,728.84,736.56,722.41,8397681.00
29/01/18,746.14,734.56,754.38,733.75,6508012.00
30/01/18,739.18,743.71,746.85,734.80,6019374.00
31/01/18,705.05,735.50,747.90,701.70,12958902.00
01/02/18,696.75,708.00,712.75,681.60,7403931.00
02/02/18,670.45,692.00,693.00,666.05,6500926.00
